Profissão,"Feminino, Todas as Cores","Masculino, Todas as Cores","Feminino, Cor Branca","Masculino, Cor Branca","Feminino, Cor Parda","Masculino, Cor Parda","Feminino, Cor Preta","Masculino, Cor Preta"
Administradores,2911.47,4554.5,3230.57,4639.16,1851.53,4076.07,,4884.93
Advogados,3979.29,5447.99,4312.45,5740.78,3020.09,4558.01,3649.41,4375.67
Afiadores e polidores de metais,,1320.83,,1386.83,,1345.9,,
Agentes da saúde e do meio ambiente,1168.21,1833.84,1225.87,2436.41,1147.88,1520.73,1093.55,1543.69
Agrônomos e afins,3318.25,5372.7,,5302.38,,5804.07,,
Ajudantes de obras civis,507.47,845.58,844.11,900.7,468.11,814.69,370.44,856.17
Ajustadores mecânicos polivalentes,,1937.73,,,,,,
Alimentadores de linhas de produção,1109.2,1354.86,1129.62,1684.5,1035.73,1041.39,,
Almoxarifes e armazenistas,1175.24,1341.37,1255.47,1490.5,1077.53,1229.57,1074.11,1217.6
Analistas de sistemas,5252.39,4901.41,5822.84,5002.5,3152.73,4379.47,,5478.44
Aparelhadores e emendadores de cabos (exceto cabos elétricos e de telecomunicações),,1862.54,,,,,,
"Aplicadores de revestimentos cerâmicos, pastilhas, pedras e madeiras",,1651.95,,1811.07,,1383.89,,
Apresentadores de espetáculos,,627.37,,,,,,
Arquitetos,3581.24,5132.64,3650.08,5516.76,2920.99,3229.75,,
Arquivologistas e museólogos,4074.87,2775.54,,,,,,
Assistentes sociais e economistas domésticos,2087.1,1716.9,2164.63,2046.38,1888.87,1432.73,2278.74,
Atendentes de creche e acompanhantes de idosos,761.84,950.79,851.75,1029.82,674.48,866.79,788.9,
"Atendentes de enfermagem, parteiras práticas e afins",1397.05,1452.49,1390.69,1465.29,1475.66,1445.09,1125.94,
Atletas profissionais,,3568.65,,2923.01,,,,
"Atores, diretores de espetáculos  e afins",16764.68,3372.1,,3635.52,,,,
Auxiliares de laboratório da saúde,1265.05,,1205.99,,1318.51,,,
Biólogos e afins,3137.15,2818.29,3272.23,2853.4,2760.13,,,
Bombeiros (exceto do corpo de bombeiros militar),,1801.64,,1731.75,,1871.84,,
Cabos e soldados da polícia militar,3207.32,3179.68,3688.9,3167.57,3138.25,3136.02,2804.25,3428.61
Cabos e soldados do corpo de bombeiros,,3240.65,,3738.1,,3153.47,,
Caixas de banco e operadores de câmbio,2275.58,3378.32,2390.71,3215.26,1791.32,3881.89,,
Caixas e bilheteiros (exceto caixas de banco),984.43,1119.28,1021.2,1271.8,934.59,984.11,996.44,1006.02
"Camareiros, roupeiros e afins",1002.16,1144.98,1049.08,,955.79,,1007.25,
Capitães da polícia militar,,9381.43,,,,,,
Carteiros e auxiliares de serviços de correios,1442.73,2210.82,,2430.91,,1987.47,,2173.72
Catadores de sucata,423.69,640.24,440.73,733.81,436.87,613.49,369.51,530.53
Ceramistas (preparação e fabricação),,1316.92,,1518.13,,1202.66,,
Cinegrafistas,,2934.1,,3700.08,,1820.3,,
Cirurgiões-dentistas,4603.92,6161.89,4696.98,6030.62,4075.12,5548.55,,
Cobradores e afins (exceto nos transportes públicos),1153.16,1313.71,1301.32,1740.16,993.02,1078.81,,1056.98
Coletores de apostas e de jogos,882.18,1059.05,917.29,1310.87,813.47,785.74,,
"Compositores, músicos e cantores",,1945.54,,,,,,
Compradores,3108.41,3106.2,3118.38,3295.86,2257.68,2739.53,,
Condutores de veículos de tração animal e de pedais,,382.25,,477.04,,319.47,,
Condutores de veículos sobre rodas (distribuidor de mercadorias),1604.94,1911.99,1599.38,2049.07,,1775.69,,1740.34
Condutores de veículos sobre rodas (transporte coletivo),1771.19,1737.4,,1800.37,,1683.03,,1742.8
Condutores de veículos sobre rodas (transporte particular),1550.63,1596.49,1684.51,1827.46,1231.47,1400.35,,1521.71
Condutores de veículos sobre trilhos,,2457.06,,,,,,
Condutores e operadores polivalentes,,1638.65,,1680.34,,1602.21,,1643.95
"Confeccionadores de artefatos de madeira, móveis de vime e afins",425.78,874.74,,,,,,
Confeccionadores de produtos de papel e papelão,,1837.55,,,,,,
Contadores e auditores,4269.59,5480.64,4611.54,5142.99,3571.43,5345.18,3103.26,5987.68
Contínuos,873.36,999.41,,1019.86,,966.22,,1016.6
"Coronéis, tenentes-coronéis e majores da polícia militar",,11232.36,,,,,,
Corretores de imóveis,4373.66,2752.88,5329.51,2873.04,2366.49,2347.96,,2762.54
Corretores de seguros,2817.21,5044.6,2112.93,5824.05,5311.3,3423.79,,
Corretores de títulos e valores,,4056.57,,,,,,
"Cortadores, polidores, jateadores e gravadores de vidros e afins",,1328.58,,,,,,
Cozinheiros,925.03,1157.75,997.25,1187.34,860.16,1107.2,922.31,1234.72
Decoradores de interiores e cenógrafos,2026.43,2013.75,2345.16,3446.12,1325.59,1179.75,,
Delegados de polícia,,11434.36,,11742.81,,,,
"Desenhistas industriais (designer), escultores, pintores e afins",691.98,1507.46,888.01,1996.57,502.89,964.83,520.97,1073.16
Desenhistas técnicos e modelistas,3369.76,2296.92,4264.73,2449.81,1401.64,2140.46,,1250.56
Despachantes de documentos,3291.13,3140.24,,3543.37,,2293.53,,
Diretores de áreas de apoio,5318.2,7988.83,5940.43,7697.81,,8108.09,,
Diretores de áreas de produção e operações,3552.81,5630.67,3960.19,6756.35,2760.11,3756.32,2929.35,
Diretores gerais,12310.64,18414.62,13254.32,21285.95,,5207.68,,
