Categorias,Feminino Branca,Masculino Branca,Feminino Parda,Masculino Parda,Feminino Preta,Masculino Preta
Administradores,"3,230.57","4,639.16","1,851.53","4,076.07",,"4,884.93"
Advogados,"4,312.45","5,740.78","3,020.09","4,558.01","3,649.41","4,375.67"
Afiadores e polidores de metais,,"1,386.83",,"1,345.90",,
Agentes da saúde e do meio ambiente,"1,225.87","2,436.41","1,147.88","1,520.73","1,093.55","1,543.69"
Agrônomos e afins,,"5,302.38",,"5,804.07",,
Ajudantes de obras civis,844.11,900.70,468.11,814.69,370.44,856.17
Alimentadores de linhas de produção,"1,129.62","1,684.50","1,035.73","1,041.39",,
Almoxarifes e armazenistas,"1,255.47","1,490.50","1,077.53","1,229.57","1,074.11","1,217.60"
Analistas de sistemas,"5,822.84","5,002.50","3,152.73","4,379.47",,"5,478.44"
"Aplicadores de revestimentos cerâmicos, pastilhas, pedras e madeiras",,"1,811.07",,"1,383.89",,
Arquitetos,"3,650.08","5,516.76","2,920.99","3,229.75",,
Assistentes sociais e economistas domésticos,"2,164.63","2,046.38","1,888.87","1,432.73","2,278.74",
Atendentes de creche e acompanhantes de idosos,851.75,"1,029.82",674.48,866.79,788.90,
"Atendentes de enfermagem, parteiras práticas e afins","1,390.69","1,465.29","1,475.66","1,445.09","1,125.94",
Atletas profissionais,,"2,923.01",,,,
"Atores, diretores de espetáculos  e afins",,"3,635.52",,,,
Auxiliares de laboratório da saúde,"1,205.99",,"1,318.51",,,
Biólogos e afins,"3,272.23","2,853.40","2,760.13",,,
Bombeiros (exceto do corpo de bombeiros militar),,"1,731.75",,"1,871.84",,
Cabos e soldados da polícia militar,"3,688.90","3,167.57","3,138.25","3,136.02","2,804.25","3,428.61"
Cabos e soldados do corpo de bombeiros,,"3,738.10",,"3,153.47",,
Caixas de banco e operadores de câmbio,"2,390.71","3,215.26","1,791.32","3,881.89",,
Caixas e bilheteiros (exceto caixas de banco),"1,021.20","1,271.80",934.59,984.11,996.44,"1,006.02"
"Camareiros, roupeiros e afins","1,049.08",,955.79,,"1,007.25",
Carteiros e auxiliares de serviços de correios,,"2,430.91",,"1,987.47",,"2,173.72"
Catadores de sucata,440.73,733.81,436.87,613.49,369.51,530.53
Ceramistas (preparação e fabricação),,"1,518.13",,"1,202.66",,
Cinegrafistas,,"3,700.08",,"1,820.30",,
Cirurgiões-dentistas,"4,696.98","6,030.62","4,075.12","5,548.55",,
Cobradores e afins (exceto nos transportes públicos),"1,301.32","1,740.16",993.02,"1,078.81",,"1,056.98"
Coletores de apostas e de jogos,917.29,"1,310.87",813.47,785.74,,
Compradores,"3,118.38","3,295.86","2,257.68","2,739.53",,
Condutores de veículos de tração animal e de pedais,,477.04,,319.47,,
Condutores de veículos sobre rodas (distribuidor de mercadorias),"1,599.38","2,049.07",,"1,775.69",,"1,740.34"
Condutores de veículos sobre rodas (transporte coletivo),,"1,800.37",,"1,683.03",,"1,742.80"
Condutores de veículos sobre rodas (transporte particular),"1,684.51","1,827.46","1,231.47","1,400.35",,"1,521.71"
Condutores e operadores polivalentes,,"1,680.34",,"1,602.21",,"1,643.95"
Contadores e auditores,"4,611.54","5,142.99","3,571.43","5,345.18","3,103.26","5,987.68"
Contínuos,,"1,019.86",,966.22,,"1,016.60"
Corretores de imóveis,"5,329.51","2,873.04","2,366.49","2,347.96",,"2,762.54"
Corretores de seguros,"2,112.93","5,824.05","5,311.30","3,423.79",,
Cozinheiros,997.25,"1,187.34",860.16,"1,107.20",922.31,"1,234.72"
Decoradores de interiores e cenógrafos,"2,345.16","3,446.12","1,325.59","1,179.75",,
Delegados de polícia,,"11,742.81",,,,
"Desenhistas industriais (designer), escultores, pintores e afins",888.01,"1,996.57",502.89,964.83,520.97,"1,073.16"
Desenhistas técnicos e modelistas,"4,264.73","2,449.81","1,401.64","2,140.46",,"1,250.56"
Despachantes de documentos,,"3,543.37",,"2,293.53",,
Diretores de áreas de apoio,"5,940.43","7,697.81",,"8,108.09",,
Diretores de áreas de produção e operações,"3,960.19","6,756.35","2,760.11","3,756.32","2,929.35",
Diretores gerais,"13,254.32","21,285.95",,"5,207.68",,
Dirigentes das áreas de apoio da administração pública,"4,344.22","6,138.57","3,391.98","3,397.20","4,880.30","2,815.41"
Dirigentes de empresas - empregadores com mais de 5 empregados,"3,587.55","5,912.87","3,416.77","4,432.74","2,465.33","6,044.61"
Dirigentes e administradores de organizações de interesse público,,"3,744.78",,,,
Eletricistas-eletrônicos de manutenção industrial,,"1,519.28",,"1,396.03",,"1,177.99"
"Eletricistas-eletrônicos de manutenção veicular (aérea, terrestre e naval)",,"1,727.80",,"1,544.82",,"1,668.97"
Eletrotécnicos na manutenção de máquinas e equipamentos,,"2,119.72",,"2,114.85",,
